Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
Julia B. Fee Sotheby's International Realty,Co-op,345000,2,1,1000,Bronx,"2711 Henry Hudson Pkwy Apt 5GBronx, NY 10463",BRONX,40.8819273,-73.9172822,10463
NoBroker,Condo,999000,2,2,1187,Flushing,"133-38 Sanford Ave Unit 16DFlushing, NY 11355",QUEENS,40.7560001,-73.8293002,11355
Soverign Homes Realty Inc,House,450000,3,2,2184,Queens,"125-15 Defoe StQueens, NY 11413",MANHATTAN,40.681047,-73.754428,11413
R Jaundoo Realty Llc,Co-op,135000,2,1,750,Bronx,"950 Hoe Ave Apt 4CBronx, NY 10459",BRONX,40.8224272,-73.8900397,10459
Vylla Home,Condo,261250,2,1,857,Bronx,"1017 Faile St Unit 1017BBronx, NY 10459",BRONX,40.8245968,-73.8898403,10459
City Realty Group,Condo,728000,3,2,1450,Woodside,"41-38 66th St Unit 5BWoodside, NY 11377",QUEENS,40.7436792,-73.8983202,11377
Berkshire Hathaway,Pending,199000,3,2,1100,Bronx,"1259 Grant Ave Apt 5HBronx, NY 10456",BRONX,40.8344217,-73.914718,10456
Keller Williams Realty NYC Grp,Multi-family home,3200000,3,2,3735,New York,"2117 5th AveNew York, NY 10035",MANHATTAN,40.8093495,-73.9398627,10035
COMPASS,Condo,1950000,3,3,1300,Manhattan,"300 E 85th St Unit 1103/1104Manhattan, NY 10028",MANHATTAN,40.7770634,-73.9522998,10028
"Listwithfreedom.Com, Inc.",Co-op,600000,2,2,900,New York,"736 W 186th St Apt 7GNew York, NY 10033",MANHATTAN,40.8535911,-73.9359601,10033
Keller Williams Realty NYC Grp,Multi-family home,3200000,3,2,3735,New York,"2117 5th AveNew York, NY 10035",MANHATTAN,40.8093495,-73.9398627,10035
HIGH CLASS REALTY SB LLC.,Condo,569000,1,1,739,Brooklyn,"390 Kings Hwy Apt 5DBrooklyn, NY 11223",BROOKLYN,40.604365,-73.9757485,11223
COMPASS,Co-op,749000,1,1,2184,Manhattan,"57 Thompson St Apt 2BManhattan, NY 10012",MANHATTAN,40.7241044,-74.0035529,10012
EXIT REALTY FIRST CHOICE,House,2488000,4,2,3850,Brooklyn,"232 Beaumont StBrooklyn, NY 11235",MANHATTAN,40.5762337,-73.9511136,11235
E Realty International Corp,Multi-family home,1138000,5,3,1026,Brooklyn,"1520 63rd StBrooklyn, NY 11219",MANHATTAN,40.6240315,-73.9954118,11219
City Homes Realty Group Llc,Multi-family home,1359000,11,6,2240,Brooklyn,"1353 Putnam AveBrooklyn, NY 11221",MANHATTAN,40.6941915,-73.913053,11221
COMPASS,Multi-family home,3720000,8,8,5500,Manhattan,"29 Essex StManhattan, NY 10002",MANHATTAN,40.7158959,-73.989796,10002
EXIT REALTY ACHIEVE,Multi-family home,974998,7,2,2184,Brooklyn,"759 Glenmore AveBrooklyn, NY 11208",MANHATTAN,40.675444,-73.8823121,11208
COMPASS,Co-op,300000,3,1,600,Brooklyn,"599 E 7th St Apt 4GBrooklyn, NY 11218",BROOKLYN,40.6372695,-73.9712947,11218
Getmore Realty Inc,House,729000,3,3,2184,Saint Albans,"110-36 199th StSaint Albans, NY 11412",MANHATTAN,40.7052223,-73.7583006,11412
Sotheby's International Realty,Co-op,750000,2,2,2184,New York,"575 Park Ave # 1508New York, NY 10065",MANHATTAN,40.7651716,-73.9678719,10065
DiTommaso Real Estate,House,599000,3,2,1120,Staten Island,"45 Bogota StStaten Island, NY 10314",MANHATTAN,40.5863749,-74.1470603,10314
Sotheby's International Realty,Townhouse,11950000,6,5,5336,New York,"27 E 73rd StNew York, NY 10021",MANHATTAN,40.772751,-73.9650884,10021
Corcoran West Side,Co-op,825000,1,2,1100,New York,"180 E End Ave Apt 18HNew York, NY 10128",MANHATTAN,40.7766673,-73.9439269,10128
Soverign Homes Realty Inc,House,800000,3,2,2184,Brooklyn,"742 Lexington AveBrooklyn, NY 11221",MANHATTAN,40.6899365,-73.9294828,11221
Brown Harris Stevens,Co-op,289000,3,1,2184,Brooklyn,"36 Dahill Rd Apt 1LBrooklyn, NY 11218",BROOKLYN,40.646116,-73.98134,11218
Douglas Elliman,Condo,4750000,4,4,4100,New York,"116 W 14th St Fl 4New York, NY 10011",MANHATTAN,40.7375173,-73.9979625,10011
Douglas Elliman,Co-op,899999,2,1,2184,New York,"224 E 11th St Apt 22New York, NY 10003",MANHATTAN,40.7308571,-73.9878596,10003
Hauseit LLC,Townhouse,868000,2,2,1152,Middle Village,"58-36 79th StMiddle Village, NY 11379",MANHATTAN,40.7259203,-73.8814296,11379
COMPASS,Condo,3995000,3,3,1637,Manhattan,"450 W 17th St Apt 1709Manhattan, NY 10011",MANHATTAN,40.7435613,-74.0063336,10011
EXP COMMERCIAL LLC,House,1500000,3,2,1240,Brooklyn,"243 Bay 13 StBrooklyn, NY 11214",MANHATTAN,40.6045606,-74.0114555,11214
SOUTHSIDE REALTY GROUP LLC,House,625000,4,2,2184,Brooklyn,"1797 Troy AveBrooklyn, NY 11234",MANHATTAN,40.6283989,-73.9334448,11234
COMPASS,Pending,749000,1,1,2184,Manhattan,"88 Charles St Apt 3DManhattan, NY 10014",MANHATTAN,40.7345653,-74.0041732,10014
Exp Realty,House,520000,3,2,1705,Bronx,"503 E 182nd StBronx, NY 10457",MANHATTAN,40.8536129,-73.8933593,10457
EXP Realty,Multi-family home,749900,5,2,1400,Brooklyn,"159 Montauk AveBrooklyn, NY 11208",MANHATTAN,40.6754664,-73.8780744,11208
RE MAX Distinguished Homes & Properties,Multi-family home,799000,6,4,2310,Bronx,"669 E 237th StBronx, NY 10466",MANHATTAN,40.897885,-73.8562199,10466
Charles H. Greenthal Property,Co-op,959000,3,4,1993,Floral Park,"27110 Grand Central Pkwy Apt 11VFloral Park, NY 11005",QUEENS,40.7564761,-73.7212008,11005
Mitra Hakimi Realty Group LLC,Multi-family home,888000,5,3,2980,East Flatbush,"228 E 89th StEast Flatbush, NY 11203",MANHATTAN,40.6484284,-73.9166783,11203
"Prime Time Real Estate, Inc.",House,725000,2,2,988,Staten Island,"51 Bedford AveStaten Island, NY 10306",MANHATTAN,40.5821761,-74.1078688,10306
